Far left Distance sensor (mm), Center left distance sensor (mm), center right distance sensor (mm), Far right Distance sensor (mm), force in Z left (kg), force in Z right (kg), force in X left (kg), force in X right (kg)
118,102,127,138,-14.77,-12.93,0.16,0.65
120,107,132,154,-14.82,-12.91,0.19,0.65
117,103,126,154,-14.88,-12.86,0.14,0.73
110,103,128,150,-14.86,-12.85,0.07,0.89
121,106,126,154,-14.92,-12.77,-0.04,1.02
112,109,125,150,-14.82,-12.72,-0.09,1.14
118,112,127,151,-14.66,-12.83,-0.12,1.16
124,108,124,153,-14.59,-12.85,-0.07,1.14
123,107,136,158,-14.54,-12.82,0.03,1.08
126,109,127,159,-14.51,-12.69,0.04,1.02
115,107,134,160,-14.68,-12.53,0.07,0.98
127,103,132,159,-14.73,-12.49,0.09,0.98
127,113,132,154,-14.63,-12.53,0.12,0.99
120,115,132,159,-14.53,-12.59,0.16,1.01
119,108,144,172,-14.5,-12.57,0.26,1.01
129,109,148,179,-14.44,-12.53,0.29,1.03
125,109,144,180,-14.48,-12.51,0.32,1.03
131,107,145,184,-14.56,-12.49,0.32,1.02
124,113,144,183,-14.59,-12.48,0.32,1.07
119,113,147,175,-14.5,-12.5,0.34,1.12
129,108,146,175,-14.43,-12.53,0.39,1.16
129,110,146,169,-14.32,-12.49,0.38,1.19
121,103,140,187,-14.29,-12.51,0.45,1.24
121,111,144,174,-14.33,-12.5,0.48,1.26
119,112,149,174,-14.29,-12.53,0.48,1.3
129,133,146,167,-14.17,-12.55,0.51,1.34
139,136,145,170,-14.12,-12.53,0.56,1.38
156,142,136,178,-14.07,-12.65,0.63,1.42
156,149,135,170,-13.92,-12.77,0.67,1.5
157,152,128,163,-13.94,-12.84,0.7,1.49
160,158,127,160,-13.99,-12.78,0.66,1.5
160,157,129,152,-14.09,-12.79,0.64,1.55
159,163,123,146,-14.08,-12.81,0.7,1.59
169,168,121,156,-14.01,-12.83,0.75,1.53
178,162,123,152,-13.95,-12.8,0.8,1.42
161,167,126,151,-13.9,-12.94,0.93,1.37
170,170,125,145,-13.93,-12.93,0.99,1.3
170,166,126,144,-14.06,-12.9,1.04,1.3
171,146,126,143,-14.16,-12.84,1.02,1.34
167,152,119,143,-14.33,-12.68,0.97,1.38
175,179,121,141,-14.44,-12.59,0.98,1.39
166,148,121,137,-14.51,-12.45,0.99,1.41
164,151,119,145,-14.6,-12.39,0.98,1.43
170,171,118,138,-14.53,-12.39,0.94,1.46
173,151,123,142,-14.51,-12.37,0.87,1.51
171,164,125,143,-14.46,-12.36,0.91,1.5
162,170,117,142,-14.45,-12.32,0.89,1.44
164,151,126,150,-14.54,-12.19,0.82,1.36
164,151,124,148,-14.58,-12.13,0.82,1.32
166,146,128,143,-14.53,-12.05,0.83,1.29
163,159,125,153,-14.54,-12.02,0.83,1.28
161,171,126,155,-14.46,-12.01,0.74,1.27
160,165,133,155,-14.38,-12,0.7,1.3
160,166,140,154,-14.36,-11.99,0.76,1.36
